epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,145.862,1.35549,3.22738,1.6466,1.28079,0.48822,0.13763,0.14143,0.09184,0.47149,0.11014,0.10398,0.05363,1.46911,3.14666,1.60749,1.25767,2.625e-05,2.625e-05,2.625e-05
2,240.233,1.31519,3.1839,1.55805,1.26463,0.43495,0.14113,0.14611,0.09761,0.42611,0.11103,0.1074,0.05737,1.47291,3.16161,1.61222,1.26342,5.17157e-05,5.17157e-05,5.17157e-05
3,339.521,1.31256,3.17576,1.54187,1.26205,0.41996,0.13971,0.14228,0.09127,0.42791,0.11061,0.10503,0.05363,1.48129,3.15753,1.60864,1.27149,7.63124e-05,7.63124e-05,7.63124e-05
4,429.385,1.30252,3.16638,1.52023,1.26089,0.37827,0.15082,0.14813,0.09543,0.37133,0.11719,0.11047,0.05725,1.48543,3.14819,1.60301,1.26494,7.50895e-05,7.50895e-05,7.50895e-05
5,521.275,1.29866,3.14558,1.50598,1.25786,0.39632,0.15591,0.15119,0.09751,0.40058,0.12211,0.11302,0.05838,1.4745,3.14024,1.57807,1.26124,7.3786e-05,7.3786e-05,7.3786e-05
6,618.142,1.28838,3.13267,1.48216,1.24996,0.35869,0.15948,0.15303,0.09942,0.37012,0.1208,0.11132,0.05794,1.46836,3.12702,1.58174,1.26251,7.24825e-05,7.24825e-05,7.24825e-05
7,711.043,1.28243,3.10404,1.4599,1.24943,0.41265,0.16404,0.15972,0.10339,0.38559,0.12614,0.11792,0.06123,1.46166,3.1235,1.56413,1.25631,7.1179e-05,7.1179e-05,7.1179e-05
8,805.879,1.27375,3.10371,1.44699,1.24499,0.41783,0.16009,0.15744,0.10027,0.40048,0.1236,0.11575,0.05874,1.46636,3.11519,1.56363,1.25384,6.98755e-05,6.98755e-05,6.98755e-05
9,895.903,1.26866,3.08617,1.43399,1.24132,0.4135,0.16545,0.161,0.10324,0.39182,0.12734,0.11969,0.06119,1.44786,3.1047,1.54422,1.24465,6.8572e-05,6.8572e-05,6.8572e-05
10,984.997,1.26363,3.06937,1.41821,1.23711,0.42786,0.16673,0.16326,0.10442,0.42678,0.12423,0.12112,0.06173,1.44872,3.09041,1.53625,1.24351,6.72685e-05,6.72685e-05,6.72685e-05
